time,total_yggl,total_ygdn
2019-06-17 10:01:29,0.016,22738.875
2019-06-17 10:02:28,0.015,22738.875
2019-06-17 10:03:28,0.019,22738.875
2019-06-17 10:04:28,0.019,22738.875
2019-06-17 10:05:28,0.018,22738.875
2019-06-17 10:06:28,0.017,22738.875
2019-06-17 10:07:28,0.018,22738.875
2019-06-17 10:08:29,0.019,22738.875
2019-06-17 10:09:29,0.016,22738.875
2019-06-17 10:10:29,0.02,22738.875
2019-06-17 10:11:29,0.016,22738.875
2019-06-17 10:12:29,0.018,22738.875
2019-06-17 10:13:28,0.018,22738.875
2019-06-17 10:14:28,0.016,22738.875
2019-06-17 10:15:28,0.018,22738.875
2019-06-17 10:16:28,0.017,22738.875
2019-06-17 10:17:28,0.017,22738.875
2019-06-17 10:18:28,0.018,22738.875
2019-06-17 10:19:28,0.016,22738.875
2019-06-17 10:20:28,0.019,22738.875
2019-06-17 10:21:31,0.019,22738.875
2019-06-17 10:22:30,0.017,22738.875
2019-06-17 10:23:31,0.018,22738.875
2019-06-17 10:24:31,0.016,22738.875
2019-06-17 10:25:31,0.017,22738.875
2019-06-17 10:26:32,0.017,22738.875
2019-06-17 10:27:31,0.017,22738.875
2019-06-17 10:28:31,0.018,22738.875
2019-06-17 10:29:31,0.015,22738.875
2019-06-17 10:30:31,0.015,22738.875
2019-06-17 10:31:31,0.016,22738.875
2019-06-17 10:32:31,0.016,22738.875
2019-06-17 10:33:31,0.019,22738.875
2019-06-17 10:34:31,0.015,22738.875
2019-06-17 10:35:31,0.018,22738.875
2019-06-17 10:36:31,0.017,22738.875
2019-06-17 10:37:31,0.017,22738.875
2019-06-17 10:38:31,0.017,22738.875
2019-06-17 10:39:31,0.018,22738.875
2019-06-17 10:40:32,0.016,22738.875
2019-06-17 10:41:32,0.018,22738.875
2019-06-17 10:42:32,0.018,22738.875
2019-06-17 10:43:31,0.016,22738.875
2019-06-17 10:44:32,0.017,22738.875
2019-06-17 10:45:36,0.019,22738.875
2019-06-17 10:46:32,0.018,22738.875
2019-06-17 10:47:31,0.016,22738.875
2019-06-17 10:48:31,0.016,22738.875
2019-06-17 10:49:31,0.019,22738.875
2019-06-17 10:50:31,0.017,22738.875
2019-06-17 10:51:32,0.018,22738.875
2019-06-17 10:52:32,0.017,22738.875
2019-06-17 10:53:31,0.018,22738.875
2019-06-17 10:54:32,0.016,22738.875
2019-06-17 10:55:32,0.017,22738.875
2019-06-17 10:56:32,0.015,22738.875
2019-06-17 10:57:32,0.017,22738.875
2019-06-17 10:58:32,0.018,22738.875
2019-06-17 10:59:32,0.017,22738.875
2019-06-17 11:00:32,0.017,22738.875
2019-06-17 11:01:32,0.014,22738.875
2019-06-17 11:02:32,0.016,22738.875
2019-06-17 11:03:33,0.015,22738.912
2019-06-17 11:04:33,0.02,22738.912
2019-06-17 11:05:33,0.019,22738.912
2019-06-17 11:06:33,0.016,22738.912
2019-06-17 11:07:33,0.017,22738.912
2019-06-17 11:08:33,0.016,22738.912
2019-06-17 11:09:33,0.017,22738.912
2019-06-17 11:10:33,0.016,22738.912
2019-06-17 11:11:33,0.018,22738.912
2019-06-17 11:12:32,0.017,22738.912
2019-06-17 11:13:33,0.016,22738.912
2019-06-17 11:14:33,0.017,22738.912
2019-06-17 11:15:33,0.016,22738.912
2019-06-17 11:16:33,0.017,22738.912
2019-06-17 11:17:33,0.019,22738.912
2019-06-17 11:18:33,0.016,22738.912
2019-06-17 11:19:33,0.016,22738.912
2019-06-17 11:20:33,0.014,22738.912
2019-06-17 11:21:33,0.017,22738.912
2019-06-17 11:22:33,0.018,22738.912
2019-06-17 11:23:34,0.017,22738.912
2019-06-17 11:24:33,0.017,22738.912
2019-06-17 11:25:34,0.019,22738.912
2019-06-17 11:26:34,0.017,22738.912
2019-06-17 11:27:34,0.016,22738.912
2019-06-17 11:28:34,0.019,22738.912
2019-06-17 11:29:34,0.016,22738.912
2019-06-17 11:30:34,0.017,22738.912
2019-06-17 11:31:34,0.016,22738.912
2019-06-17 11:32:34,0.018,22738.912
2019-06-17 11:33:34,0.015,22738.912
2019-06-17 11:34:34,0.017,22738.912
2019-06-17 11:35:34,0.016,22738.912
2019-06-17 11:36:34,0.018,22738.912
2019-06-17 11:37:35,0.017,22738.912
2019-06-17 11:38:35,0.02,22738.912
2019-06-17 11:39:34,0.016,22738.912
